Date,Media,Tweet,Compound,Positive,Negative,Neutral,Tweets Ago
Sun Jan 14 01:49:39 +0000 2018,@nytimes,False Missile Warning in Hawaii Adds to Scrutiny of Emergency Alert System https://t.co/ra0lRvMUjp,-0.4215,0.128,0.291,0.581,1
Sun Jan 14 01:33:31 +0000 2018,@nytimes,Mark Wahlberg and Agency Will Donate $2 Million to Time’s Up After Outcry Over Pay https://t.co/RBYhWrWSbC,-0.5719,0.0,0.251,0.749,2
Sun Jan 14 01:24:34 +0000 2018,@nytimes,The kind of comforting meal to eat on a cold winter night https://t.co/R8G44qXU3H https://t.co/FyLEBvrsPq,0.3415,0.167,0.0,0.833,3
Sun Jan 14 01:06:14 +0000 2018,@nytimes,A look inside one of America's last pencil factories https://t.co/KVb9CF1pMB https://t.co/X9ld6EEPOR,0.0,0.0,0.0,1.0,4
Sun Jan 14 00:50:27 +0000 2018,@nytimes,On Dessert: How Rice Pudding Gave Me Courage https://t.co/YehqbxRDvY,0.4939,0.286,0.0,0.714,5
Sun Jan 14 00:46:54 +0000 2018,@nytimes,"It was a rare event in the midst of the #MeToo moment: An apology was offered and accepted.

""Dan was the only pers… https://t.co/Q8ArzoblW0",0.3182,0.136,0.0,0.864,6
Sun Jan 14 00:32:06 +0000 2018,@nytimes,"""I remember him putting his fingers in my mouth, and him grabbing my privates,"" a male model said of Bruce Weber.… https://t.co/5KrbyRCrqC",0.0,0.0,0.0,1.0,7
Sun Jan 14 00:11:57 +0000 2018,@nytimes,News Analysis: Hillary Clinton Ignited a Feminist Movement. By Losing. https://t.co/IIhItO1zIX,-0.3818,0.0,0.224,0.776,8
Sat Jan 13 23:55:05 +0000 2018,@nytimes,"Until recently, Syrian cuisine hardly existed in Toronto. Now there's a Syrian-food boom. https://t.co/qgc0oXCuh0",0.0,0.0,0.0,1.0,9
Sat Jan 13 23:40:08 +0000 2018,@nytimes,"It was a false alarm, officials said, but it caused immediate panic: “BALLISTIC MISSILE THREAT INBOUND TO HAWAII. S… https://t.co/TKbI9xdhkh",-0.9161,0.0,0.425,0.575,10
Sat Jan 13 23:25:05 +0000 2018,@nytimes,RT @NYTStyles: Soon someone will invent a currency at just the right moment and everyone will dump tons of cash into it as a joke and it'll…,-0.1027,0.079,0.094,0.827,11
Sat Jan 13 23:23:08 +0000 2018,@nytimes,"The Look: Somewhere, Away From It All https://t.co/MYLWyTLKZT",0.0,0.0,0.0,1.0,12
Sat Jan 13 23:10:02 +0000 2018,@nytimes,"With a book, a website and a new documentary series, Tom Brady seems to be pivoting toward a post-football life https://t.co/Wy9ZMEVnSB",0.0,0.0,0.0,1.0,13
Sat Jan 13 23:00:11 +0000 2018,@nytimes,"Opinion: For some people from El Salvador, being deported can be a death sentence https://t.co/DGBBk0fgF8",-0.5574,0.076,0.227,0.698,14
Sat Jan 13 22:45:02 +0000 2018,@nytimes,What the aftermath of a deadly mudslide looks like https://t.co/myX6ID7LF3,0.3612,0.238,0.0,0.762,15
Sat Jan 13 22:30:09 +0000 2018,@nytimes,Many preschool teachers live on the edge of financial ruin https://t.co/Mt1nFvEwTy,-0.5859,0.0,0.275,0.725,16
Sat Jan 13 22:15:03 +0000 2018,@nytimes,"On the northwest coast of Washington State, a community has chosen to live off the grid, some of them for the simpl… https://t.co/qOQ7cFAxTm",0.0,0.0,0.0,1.0,17
Sat Jan 13 22:00:12 +0000 2018,@nytimes,This year’s flu season is shaping up to be a bad one. It's not too late to get a shot. https://t.co/IAbBpmeJwa,-0.7269,0.0,0.264,0.736,18
Sat Jan 13 21:50:32 +0000 2018,@nytimes,"""I 100% support the fight for fair pay and I'm donating the $1.5M to the Time's Up Legal Defense Fund in Michelle W… https://t.co/RJhn6ixPRZ",0.4588,0.267,0.133,0.6,19
Sat Jan 13 21:45:18 +0000 2018,@nytimes,Go gray https://t.co/Yl0XFqydeI,0.0,0.0,0.0,1.0,20
Wed Jan 10 12:51:07 +0000 2018,@nytimes,"President Trump's longtime lawyer sues @BuzzFeed and Fusion GPS, the firm behind the Russia dossier https://t.co/62xstn40kR",0.0,0.0,0.0,1.0,21
Wed Jan 10 12:40:08 +0000 2018,@nytimes,Russia’s interference in the U.S. election fits into a nearly two-decade pattern of meddling with governments aroun… https://t.co/iip4vMrwo3,0.0,0.0,0.0,1.0,22
Wed Jan 10 12:30:08 +0000 2018,@nytimes,The government of Wales has a question for parents: Is it ever right to physically punish your children? https://t.co/7eTwmsGhYv,-0.5267,0.0,0.167,0.833,23
Wed Jan 10 12:21:06 +0000 2018,@nytimes,"Dianne Feinstein released the transcript of the Judiciary Committee's interview with Fusion GPS, the firm that crea… https://t.co/7d3JyWJD1F",0.0,0.0,0.0,1.0,24
Wed Jan 10 12:10:12 +0000 2018,@nytimes,What does Carter Page know? https://t.co/8QSiDAkBBl,0.0,0.0,0.0,1.0,25
Wed Jan 10 12:00:09 +0000 2018,@nytimes,"Tonya Harding: ""I've had rats thrown into my mailboxes, [expletive] left on my door, left in my mailbox, all over m… https://t.co/OCoRyDbjXn",0.0,0.0,0.0,1.0,26
Wed Jan 10 11:45:13 +0000 2018,@nytimes,James Franco denied sexual misconduct accusations in an interview with Stephen Colbert https://t.co/MLKNiZowY2,-0.6369,0.0,0.321,0.679,27
Wed Jan 10 11:30:07 +0000 2018,@nytimes,Morning Briefing: Here's what you need to know to start your day https://t.co/icusd9Y61a https://t.co/AcIh8287jC,0.0,0.0,0.0,1.0,28
Wed Jan 10 11:14:04 +0000 2018,@nytimes,"Rumors are that a classified SpaceX mission code-named ""Zuma"" failed to deploy in orbit and is now lost. What happe… https://t.co/zhxyZvk9wn",-0.6808,0.0,0.237,0.763,29
Wed Jan 10 11:00:21 +0000 2018,@nytimes,Two Reuters reporters who had been investigating the existence of a mass grave in Myanmar could face up to 14 years… https://t.co/Fe3aFxKpt5,-0.3818,0.0,0.115,0.885,30
